datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,1,13.9,0,-8.447,-55.135,6.9
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,2,20.1,0,-8.35,-55.017,30.9
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,0,23,0,-8.044,-54.8,6.4
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,1,19.4,0,-8.046,-54.748,18.4
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,1,20,0,-8.048,-54.758,7.3
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,ULIANOPOLIS,Amazonia,3,0.3,0.2,-3.735,-47.396,63.9
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,2,1.5,0.1,-3.183,-48.73,22.2
2021/01/08 17:10:00,AQUA_M-T,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,3,4.4,0.2,-8.884,-50.077,52.9
2021/01/09 16:15:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,0,1.2,0,-2.192,-48.827,109.6
2021/01/09 16:15:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,1,1.3,0,-2.208,-48.825,41
2021/01/09 16:15:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,0,0.1,-3.201,-47.115,67.4
2021/01/09 16:15:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,0,1,0,-2.517,-48.548,26.9
2021/01/09 16:15:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,0,0.1,-3.195,-47.122,62.5
2021/01/10 17:00:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,0,2.1,0,-2.992,-49.137,3.2
2021/01/10 17:00:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,3,2.8,0.1,-3.11,-48.615,15.7
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,GARRAFAO DO NORTE,Amazonia,2,11.5,0,-2.007,-47.117,11.5
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,1.2,0.1,-3.421,-47.225,10.8
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,RIO MARIA,Amazonia,0,0.7,0.3,-7.146,-49.318,9.1
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,1,4.6,0,-3.155,-46.779,13
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,1.3,0.7,-3.422,-47.234,14.7
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,0,24.7,0,-3.037,-49.434,12
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,1,0.3,0.4,-7.769,-50.651,13.4
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,BREU BRANCO,Amazonia,2,11.1,0,-3.533,-49.238,8.5
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,AURORA DO PARA,Amazonia,2,10.7,0,-2.018,-47.638,7.8
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,MAGALHAES BARATA,Amazonia,10,0.6,0.5,-0.749,-47.651,8.4
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,VISEU,Amazonia,12,0.2,0.7,-1.173,-46.365,17.4
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,1,4.5,0.2,-3.156,-46.788,73.5
2021/01/12 16:45:00,AQUA_M-T,Brasil,PARA,CUMARU DO NORTE,Amazonia,2,0.2,0.5,-7.763,-50.646,13.9
2021/01/13 17:25:00,AQUA_M-T,Brasil,PARA,SANTANA DO ARAGUAIA,Amazonia,0,0,0.2,-9.737,-50.433,23.7
